policy_id,category,policy_title,policy_description,applicable_to,effective_date,last_reviewed,version,owner_department,enforcement_level,violation_consequence,review_frequency
POL-084,Attendance & Leave,Attendance & Leave Policy – Section 4,Swavik tracks attendance via the HR portal. Section 4 covers annual and sick leave accrual.,Contractors & Vendors,2021-03-01,2024-09-01,v4.8,IT Security,Advisory,Written warning,Bi-annual
POL-054,Travel & Expenses,Travel & Expenses Policy – Section 4,Swavik reimburses approved business travel. Section 4 details airfare and hotel booking guidelines procedures.,All Employees,2024-01-01,2024-11-01,v1.0,HR,Mandatory,Termination,Bi-annual
POL-071,Social Media,Social Media Policy – Section 1,Employees representing Swavik online must follow brand guidelines. Section 1 covers prohibited disclosures and confidentiality on social platforms.,Full-Time Employees,2024-05-01,2024-02-01,v4.5,Finance,Advisory,Suspension without pay,Annual
POL-046,Conflict of Interest,Conflict of Interest Policy – Section 6,Employees must disclose potential conflicts to HR. Section 6 covers outside employment restrictions.,Full-Time Employees,2021-10-01,2024-08-01,v2.2,IT Security,Mandatory,Written warning,Quarterly
POL-045,Conflict of Interest,Conflict of Interest Policy – Section 5,Employees must disclose potential conflicts to HR. Section 5 covers gift and entertainment policies.,All Employees,2022-02-01,2024-12-01,v2.2,Compliance,Advisory,Performance review escalation,Bi-annual
POL-040,Anti-Harassment,Anti-Harassment Policy – Section 10,Swavik maintains a zero-tolerance policy toward harassment. Section 10 defines reporting channels and investigation steps.,Full-Time Employees,2021-05-01,2024-12-01,v3.3,Finance,Mandatory,Written warning,Bi-annual
POL-023,Information Security,Information Security Policy – Section 3,Swavik requires all staff to follow cybersecurity protocols. Section 3 addresses device security and encryption standards.,Remote Employees,2021-12-01,2024-03-01,v4.2,Compliance,Advisory,Written warning,Annual
POL-081,Attendance & Leave,Attendance & Leave Policy – Section 1,Swavik tracks attendance via the HR portal. Section 1 covers leave request and approval workflows.,Full-Time Employees,2024-06-01,2024-01-01,v2.9,Legal,Mandatory,Suspension without pay,Annual
POL-011,Data Privacy,Data Privacy Policy – Section 1,Swavik complies with GDPR and local data protection laws. Section 1 outlines data retention and deletion procedures for employee and customer data.,Managers & Above,2023-12-01,2024-06-01,v1.6,IT Security,Mandatory,Suspension without pay,Bi-annual
POL-001,Code of Conduct,Code of Conduct Policy – Section 1,All Swavik employees must maintain professional behaviour and uphold company values. Section 1 covers integrity and transparency in daily operations.,All Employees,2021-10-01,2024-06-01,v1.9,IT Security,Advisory,Verbal warning and retraining,Quarterly
POL-019,Data Privacy,Data Privacy Policy – Section 9,Swavik complies with GDPR and local data protection laws. Section 9 outlines data retention and deletion procedures for employee and customer data.,Remote Employees,2023-05-01,2024-12-01,v3.8,Compliance,Advisory,Verbal warning and retraining,Annual
POL-031,Anti-Harassment,Anti-Harassment Policy – Section 1,Swavik maintains a zero-tolerance policy toward harassment. Section 1 defines prohibited conduct and disciplinary actions.,Remote Employees,2024-10-01,2024-06-01,v4.6,IT Security,Advisory,Written warning,Annual
POL-074,Social Media,Social Media Policy – Section 4,Employees representing Swavik online must follow brand guidelines. Section 4 covers approved brand voice and tone on social platforms.,Remote Employees,2022-01-01,2024-08-01,v1.6,HR,Advisory,Termination,Annual
POL-034,Anti-Harassment,Anti-Harassment Policy – Section 4,Swavik maintains a zero-tolerance policy toward harassment. Section 4 defines reporting channels and investigation steps.,All Employees,2022-08-01,2024-05-01,v4.3,HR,Mandatory,Suspension without pay,Quarterly
POL-091,Performance Management,Performance Management Policy – Section 1,Swavik conducts bi-annual performance reviews. Section 1 outlines performance improvement plan (PIP) procedures.,Full-Time Employees,2021-01-01,2024-08-01,v1.3,IT Security,Mandatory,Written warning,Quarterly
POL-005,Code of Conduct,Code of Conduct Policy – Section 5,All Swavik employees must maintain professional behaviour and uphold company values. Section 5 covers integrity and transparency in daily operations.,Contractors & Vendors,2022-08-01,2024-10-01,v1.1,HR,Mandatory,Written warning,Annual
POL-077,Social Media,Social Media Policy – Section 7,Employees representing Swavik online must follow brand guidelines. Section 7 covers prohibited disclosures and confidentiality on social platforms.,Full-Time Employees,2024-07-01,2024-07-01,v2.0,HR,Mandatory,Suspension without pay,Quarterly
POL-078,Social Media,Social Media Policy – Section 8,Employees representing Swavik online must follow brand guidelines. Section 8 covers approved brand voice and tone on social platforms.,Full-Time Employees,2023-09-01,2024-06-01,v4.6,Compliance,Advisory,Performance review escalation,Bi-annual
POL-013,Data Privacy,Data Privacy Policy – Section 3,Swavik complies with GDPR and local data protection laws. Section 3 outlines data retention and deletion procedures for employee and customer data.,All Employees,2023-10-01,2024-10-01,v2.8,HR,Advisory,Performance review escalation,Annual
POL-032,Anti-Harassment,Anti-Harassment Policy – Section 2,Swavik maintains a zero-tolerance policy toward harassment. Section 2 defines reporting channels and investigation steps.,Managers & Above,2021-07-01,2024-05-01,v4.5,HR,Mandatory,Performance review escalation,Quarterly
